[['08', '26', '2018'], '09:00', '12:00', 'UAS Flight Day']
[['09', '27', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '28', '2018'], '09:00', '09:50', 'Physics']
[['09', '28', '2018'], '10:00', '10:50', 'Geology']
[['09', '28', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '28', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '01', '2018'], '09:00', '09:50', 'Physics']
[['10', '01', '2018'], '10:00', '10:50', 'Geology']
[['10', '01', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '01', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '01', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '02', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '02', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '03', '2018'], '09:00', '09:50', 'Physics']
[['10', '03', '2018'], '10:00', '10:50', 'Geology']
[['10', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '04', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '05', '2018'], '09:00', '09:50', 'Physics']
[['10', '05', '2018'], '10:00', '10:50', 'Geology']
[['10', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '08', '2018'], '09:00', '09:50', 'Physics']
[['10', '08', '2018'], '10:00', '10:50', 'Geology']
[['10', '08', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '08', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '08', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '09', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '09', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '10', '2018'], '09:00', '09:50', 'Physics']
[['10', '10', '2018'], '10:00', '10:50', 'Geology']
[['10', '10', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '10', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '11', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '12', '2018'], '09:00', '09:50', 'Physics']
[['10', '12', '2018'], '10:00', '10:50', 'Geology']
[['10', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '15', '2018'], '09:00', '09:50', 'Physics']
[['10', '15', '2018'], '10:00', '10:50', 'Geology']
[['10', '15', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '15', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '15', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '16', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '16', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '17', '2018'], '09:00', '09:50', 'Physics']
[['10', '17', '2018'], '10:00', '10:50', 'Geology']
[['10', '17', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '17', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '18', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '19', '2018'], '09:00', '09:50', 'Physics']
[['10', '19', '2018'], '10:00', '10:50', 'Geology']
[['10', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '22', '2018'], '09:00', '09:50', 'Physics']
[['10', '22', '2018'], '10:00', '10:50', 'Geology']
[['10', '22', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '22', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '22', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '23', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '23', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '24', '2018'], '09:00', '09:50', 'Physics']
[['10', '24', '2018'], '10:00', '10:50', 'Geology']
[['10', '24', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '24', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '25', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '26', '2018'], '09:00', '09:50', 'Physics']
[['10', '26', '2018'], '10:00', '10:50', 'Geology']
[['10', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '26', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '29', '2018'], '09:00', '09:50', 'Physics']
[['10', '29', '2018'], '10:00', '10:50', 'Geology']
[['10', '29', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '29', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '30', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '30', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '31', '2018'], '09:00', '09:50', 'Physics']
[['10', '31', '2018'], '10:00', '10:50', 'Geology']
[['10', '31', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '31', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '01', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '02', '2018'], '09:00', '09:50', 'Physics']
[['11', '02', '2018'], '10:00', '10:50', 'Geology']
[['11', '02', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '02', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '05', '2018'], '09:00', '09:50', 'Physics']
[['11', '05', '2018'], '10:00', '10:50', 'Geology']
[['11', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '05', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '06', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '06', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '07', '2018'], '09:00', '09:50', 'Physics']
[['11', '07', '2018'], '10:00', '10:50', 'Geology']
[['11', '07', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '07', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '08', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '09', '2018'], '09:00', '09:50', 'Physics']
[['11', '09', '2018'], '10:00', '10:50', 'Geology']
[['11', '09', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '09', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '12', '2018'], '09:00', '09:50', 'Physics']
[['11', '12', '2018'], '10:00', '10:50', 'Geology']
[['11', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '12', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '13', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '13', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '14', '2018'], '09:00', '09:50', 'Physics']
[['11', '14', '2018'], '10:00', '10:50', 'Geology']
[['11', '14', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '14', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '15', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '16', '2018'], '09:00', '09:50', 'Physics']
[['11', '16', '2018'], '10:00', '10:50', 'Geology']
[['11', '16', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '16', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '19', '2018'], '09:00', '09:50', 'Physics']
[['11', '19', '2018'], '10:00', '10:50', 'Geology']
[['11', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '19', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '20', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '20', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '21', '2018'], '09:00', '09:50', 'Physics']
[['11', '21', '2018'], '10:00', '10:50', 'Geology']
[['11', '21', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '21', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '22', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '23', '2018'], '09:00', '09:50', 'Physics']
[['11', '23', '2018'], '10:00', '10:50', 'Geology']
[['11', '23', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '23', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '26', '2018'], '09:00', '09:50', 'Physics']
[['11', '26', '2018'], '10:00', '10:50', 'Geology']
[['11', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '26', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '26', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '27', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '27', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '28', '2018'], '09:00', '09:50', 'Physics']
[['11', '28', '2018'], '10:00', '10:50', 'Geology']
[['11', '28', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '28', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '30', '2018'], '09:00', '09:50', 'Physics']
[['11', '30', '2018'], '10:00', '10:50', 'Geology']
[['11', '30', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '30', '2018'], '15:00', '15:50', 'Calc 1']
[['12', '03', '2018'], '09:00', '09:50', 'Physics']
[['12', '03', '2018'], '10:00', '10:50', 'Geology']
[['12', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['12', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['12', '03', '2018'], '16:00', '17:00', 'UAS Meeting']
[['12', '04', '2018'], '08:00', '10:50', 'Geology Lab']
[['12', '04', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['08', '26', '2018'], '09:00', '12:00', 'UAS Flight Day']
[['08', '26', '2018'], '12:00', '14:00', 'UAS Workday']
[['08', '27', '2018'], '09:00', '09:50', 'Physics']
[['08', '27', '2018'], '10:00', '10:50', 'Geology']
[['08', '27', '2018'], '11:00', '12:00', 'Campus Tour']
[['08', '27', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '27', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '27', '2018'], '16:00', '17:00', 'UAS Meeting']
[['08', '28', '2018'], '08:00', '10:50', 'Geology Lab']
[['08', '28', '2018'], '11:00', '14:00', 'Sophia TA']
[['08', '28', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['08', '29', '2018'], '09:00', '09:50', 'Physics']
[['08', '29', '2018'], '10:00', '10:50', 'Geology']
[['08', '29', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '29', '2018'], '14:00', '15:00', 'Campus Tour']
[['08', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '29', '2018'], '16:00', '17:00', 'Ice Cream Social Talk']
[['08', '30', '2018'], '12:00', '13:00', 'Campus Tour']
[['08', '30', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '31', '2018'], '09:00', '09:50', 'Physics']
[['08', '31', '2018'], '10:00', '10:50', 'Geology']
[['08', '31', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '31', '2018'], '14:00', '15:00', 'Campus Tour']
[['08', '31', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '03', '2018'], '09:00', '09:50', 'Physics']
[['09', '03', '2018'], '10:00', '10:50', 'Geology']
[['09', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '03', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '04', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '04', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '05', '2018'], '09:00', '09:50', 'Physics']
[['09', '05', '2018'], '10:00', '10:50', 'Geology']
[['09', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '06', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '07', '2018'], '09:00', '09:50', 'Physics']
[['09', '07', '2018'], '10:00', '10:50', 'Geology']
[['09', '07', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '07', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '10', '2018'], '09:00', '09:50', 'Physics']
[['09', '10', '2018'], '10:00', '10:50', 'Geology']
[['09', '10', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '10', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '10', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '11', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '11', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '12', '2018'], '09:00', '09:50', 'Physics']
[['09', '12', '2018'], '10:00', '10:50', 'Geology']
[['09', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '13', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '14', '2018'], '09:00', '09:50', 'Physics']
[['09', '14', '2018'], '10:00', '10:50', 'Geology']
[['09', '14', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '14', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '17', '2018'], '09:00', '09:50', 'Physics']
[['09', '17', '2018'], '10:00', '10:50', 'Geology']
[['09', '17', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '17', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '17', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '18', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '18', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '19', '2018'], '09:00', '09:50', 'Physics']
[['09', '19', '2018'], '10:00', '10:50', 'Geology']
[['09', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '20', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '21', '2018'], '09:00', '09:50', 'Physics']
[['09', '21', '2018'], '10:00', '10:50', 'Geology']
[['09', '21', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '21', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '24', '2018'], '09:00', '09:50', 'Physics']
[['09', '24', '2018'], '10:00', '10:50', 'Geology']
[['09', '24', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '24', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '24', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '25', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '25', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '26', '2018'], '09:00', '09:50', 'Physics']
[['09', '26', '2018'], '10:00', '10:50', 'Geology']
[['09', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '26', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '27', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '28', '2018'], '09:00', '09:50', 'Physics']
[['09', '28', '2018'], '10:00', '10:50', 'Geology']
[['09', '28', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '28', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '01', '2018'], '09:00', '09:50', 'Physics']
[['10', '01', '2018'], '10:00', '10:50', 'Geology']
[['10', '01', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '01', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '01', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '02', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '02', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '03', '2018'], '09:00', '09:50', 'Physics']
[['10', '03', '2018'], '10:00', '10:50', 'Geology']
[['10', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '04', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '05', '2018'], '09:00', '09:50', 'Physics']
[['10', '05', '2018'], '10:00', '10:50', 'Geology']
[['10', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '08', '2018'], '09:00', '09:50', 'Physics']
[['10', '08', '2018'], '10:00', '10:50', 'Geology']
[['10', '08', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '08', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '08', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '09', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '09', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '10', '2018'], '09:00', '09:50', 'Physics']
[['10', '10', '2018'], '10:00', '10:50', 'Geology']
[['10', '10', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '10', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '11', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '12', '2018'], '09:00', '09:50', 'Physics']
[['10', '12', '2018'], '10:00', '10:50', 'Geology']
[['10', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '15', '2018'], '09:00', '09:50', 'Physics']
[['10', '15', '2018'], '10:00', '10:50', 'Geology']
[['10', '15', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '15', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '15', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '16', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '16', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '17', '2018'], '09:00', '09:50', 'Physics']
[['10', '17', '2018'], '10:00', '10:50', 'Geology']
[['10', '17', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '17', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '18', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '19', '2018'], '09:00', '09:50', 'Physics']
[['10', '19', '2018'], '10:00', '10:50', 'Geology']
[['10', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '22', '2018'], '09:00', '09:50', 'Physics']
[['10', '22', '2018'], '10:00', '10:50', 'Geology']
[['10', '22', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '22', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '22', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '23', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '23', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '24', '2018'], '09:00', '09:50', 'Physics']
[['10', '24', '2018'], '10:00', '10:50', 'Geology']
[['10', '24', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '24', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '25', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '26', '2018'], '09:00', '09:50', 'Physics']
[['10', '26', '2018'], '10:00', '10:50', 'Geology']
[['10', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '26', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '29', '2018'], '09:00', '09:50', 'Physics']
[['10', '29', '2018'], '10:00', '10:50', 'Geology']
[['10', '29', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['10', '29', '2018'], '16:00', '17:00', 'UAS Meeting']
[['10', '30', '2018'], '08:00', '10:50', 'Geology Lab']
[['10', '30', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['10', '31', '2018'], '09:00', '09:50', 'Physics']
[['10', '31', '2018'], '10:00', '10:50', 'Geology']
[['10', '31', '2018'], '12:00', '12:50', 'CSC 150']
[['10', '31', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '01', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '02', '2018'], '09:00', '09:50', 'Physics']
[['11', '02', '2018'], '10:00', '10:50', 'Geology']
[['11', '02', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '02', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '05', '2018'], '09:00', '09:50', 'Physics']
[['11', '05', '2018'], '10:00', '10:50', 'Geology']
[['11', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '05', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '06', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '06', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '07', '2018'], '09:00', '09:50', 'Physics']
[['11', '07', '2018'], '10:00', '10:50', 'Geology']
[['11', '07', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '07', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '08', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '09', '2018'], '09:00', '09:50', 'Physics']
[['11', '09', '2018'], '10:00', '10:50', 'Geology']
[['11', '09', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '09', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '12', '2018'], '09:00', '09:50', 'Physics']
[['11', '12', '2018'], '10:00', '10:50', 'Geology']
[['11', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '12', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '13', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '13', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '14', '2018'], '09:00', '09:50', 'Physics']
[['11', '14', '2018'], '10:00', '10:50', 'Geology']
[['11', '14', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '14', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '15', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '16', '2018'], '09:00', '09:50', 'Physics']
[['11', '16', '2018'], '10:00', '10:50', 'Geology']
[['11', '16', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '16', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '19', '2018'], '09:00', '09:50', 'Physics']
[['11', '19', '2018'], '10:00', '10:50', 'Geology']
[['11', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '19', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '20', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '20', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '21', '2018'], '09:00', '09:50', 'Physics']
[['11', '21', '2018'], '10:00', '10:50', 'Geology']
[['11', '21', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '21', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '22', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '23', '2018'], '09:00', '09:50', 'Physics']
[['11', '23', '2018'], '10:00', '10:50', 'Geology']
